,year,taxagroup,value,cumulative_value
91,2008.0,sediments,2538,28144
92,2008.0,water,9947,110548
93,2009.0,biota,429,9599
94,2009.0,fish,173,1811
95,2009.0,invertebrates,1089,10330
96,2009.0,macroalgae,1152,7363
97,2009.0,phytoplankton,2507,13512
98,2009.0,sediments,2439,30583
99,2009.0,water,10066,120614
100,2010.0,biota,442,10041
101,2010.0,fish,196,2007
102,2010.0,invertebrates,1056,11386
103,2010.0,macroalgae,1371,8734
104,2010.0,phytoplankton,2551,16063
105,2010.0,sediments,2411,32994
106,2010.0,water,10165,130779
107,2011.0,biota,442,10483
108,2011.0,fish,106,2113
109,2011.0,invertebrates,1317,12703
110,2011.0,macroalgae,1132,9866
111,2011.0,phytoplankton,2334,18397
112,2011.0,sediments,2413,35407
113,2011.0,water,10320,141099
114,2012.0,biota,442,10925
115,2012.0,fish,121,2234
116,2012.0,invertebrates,1221,13924
117,2012.0,macroalgae,1308,11174
118,2012.0,phytoplankton,3109,21506
119,2012.0,sediments,2455,37862
120,2012.0,water,10322,151421
121,2013.0,biota,442,11367
122,2013.0,fish,105,2339
123,2013.0,invertebrates,1146,15070
124,2013.0,macroalgae,1495,12669
125,2013.0,phytoplankton,3460,24966
126,2013.0,sediments,2480,40342
127,2013.0,water,10349,161770
128,2014.0,biota,442,11809
129,2014.0,fish,107,2446
130,2014.0,invertebrates,1116,16186
131,2014.0,macroalgae,1228,13897
132,2014.0,phytoplankton,4727,29693
133,2014.0,sediments,2553,42895
134,2014.0,water,11202,172972
135,2015.0,biota,442,12251
136,2015.0,fish,133,2579
137,2015.0,invertebrates,1324,17510
138,2015.0,macroalgae,1320,15217
139,2015.0,phytoplankton,4831,34524
140,2015.0,sediments,1753,44648
141,2015.0,water,10333,183305
142,2016.0,biota,442,12693
143,2016.0,fish,134,2713
144,2016.0,invertebrates,1242,18752
145,2016.0,macroalgae,1480,16697
146,2016.0,phytoplankton,5191,39715
147,2016.0,sediments,1740,46388
148,2016.0,water,10353,193658
149,2017.0,fish,135,2848
150,2017.0,invertebrates,1394,20146
151,2017.0,macroalgae,1744,18441
152,2017.0,phytoplankton,4503,44218
153,2017.0,sediments,1776,48164
154,2017.0,water,10325,203983
155,2018.0,fish,128,2976
156,2018.0,invertebrates,1297,21443
157,2018.0,macroalgae,1609,20050
158,2018.0,phytoplankton,3654,47872
159,2018.0,sediments,1776,49940
160,2018.0,water,10145,214128
161,2019.0,fish,134,3110
162,2019.0,invertebrates,1363,22806
163,2019.0,macroalgae,1591,21641
164,2019.0,phytoplankton,4231,52103
165,2019.0,sediments,1776,51716
166,2019.0,water,10269,224397
167,2020.0,biota,20,12713
168,2020.0,fish,129,3239
169,2020.0,invertebrates,1235,24041
170,2020.0,macroalgae,1537,23178
171,2020.0,phytoplankton,1177,53280
172,2020.0,sediments,1776,53492
173,2020.0,water,10270,234667
174,2021.0,biota,47,12760
175,2021.0,fish,159,3398
176,2021.0,invertebrates,1259,25300
177,2021.0,macroalgae,1877,25055
178,2021.0,phytoplankton,1476,54756
179,2021.0,sediments,879,54371
180,2021.0,water,10676,245343
181,2022.0,biota,46,12806
182,2022.0,fish,106,3504
183,2022.0,invertebrates,1246,26546
184,2022.0,macroalgae,1604,26659
185,2022.0,phytoplankton,1718,56474
186,2022.0,sediments,893,55264
187,2022.0,water,13244,258587
188,2023.0,biota,46,12852
189,2023.0,fish,125,3629
190,2023.0,invertebrates,1494,28040
191,2023.0,macroalgae,1714,28373
192,2023.0,phytoplankton,1471,57945
193,2023.0,sediments,883,56147
194,2023.0,water,13338,271925
