,year,taxagroup,taxaname,value
197,1995.0,invertebrates,Ficopomatus enigmaticus,1
198,1995.0,invertebrates,Flabelligeridae,3
199,1995.0,invertebrates,Galathowenia oculata,2
200,1995.0,invertebrates,Gammaridae Gen. sp.,3
201,1995.0,invertebrates,Gastropoda,2
202,1995.0,invertebrates,Glycera alba,1
203,1995.0,invertebrates,Glycera lapidum,3
204,1995.0,invertebrates,Glycera sp.,6
205,1995.0,invertebrates,Glycera tridactyla,3
206,1995.0,invertebrates,Glycera unicornis,1
207,1995.0,invertebrates,Glycinde nordmanni,3
208,1995.0,invertebrates,Goniada maculata,1
209,1995.0,invertebrates,Goodallia triangularis,1
210,1995.0,invertebrates,Guernea coalita,2
211,1995.0,invertebrates,Gyptis rosea,3
212,1995.0,invertebrates,Harmothoe impar,1
213,1995.0,invertebrates,Harmothoe sp.,2
214,1995.0,invertebrates,Haustorius arenarius,1
215,1995.0,invertebrates,Hediste diversicolor,8
216,1995.0,invertebrates,Hesionidae,1
217,1995.0,invertebrates,Hinia reticulata,9
218,1995.0,invertebrates,Hippomedon denticulatus,6
219,1995.0,invertebrates,Hydrozoa,2
220,1995.0,invertebrates,Iphinoe sp.,2
221,1995.0,invertebrates,Kroyera carinata,1
222,1995.0,invertebrates,Kurtiella bidentata,1
223,1995.0,invertebrates,Lagis koreni,4
224,1995.0,invertebrates,Leucothoe lilljeborgi,1
225,1995.0,invertebrates,Liocarcinus holsatus,1
226,1995.0,invertebrates,Liocarcinus marmoreus,2
227,1995.0,invertebrates,Liocarcinus pusillus,1
228,1995.0,invertebrates,Liocarcinus sp.,7
229,1995.0,invertebrates,Lumbrineris emandibulata,1
230,1995.0,invertebrates,Lumbrineris sp.,5
231,1995.0,invertebrates,Macropodia rostrata,1
232,1995.0,invertebrates,Mactra stultorum,4
233,1995.0,invertebrates,Magelona papillicornis,7
234,1995.0,invertebrates,Magelona sp.,9
235,1995.0,invertebrates,Malacoceros girardi,3
236,1995.0,invertebrates,Malacoceros sp.,1
237,1995.0,invertebrates,Mangelia attenuata,3
238,1995.0,invertebrates,Mangelia sp.,1
239,1995.0,invertebrates,Mediomastus fragilis,8
240,1995.0,invertebrates,Megaluropus agilis,5
241,1995.0,invertebrates,Melinna palmata,3
242,1995.0,invertebrates,Modiolula phaseolina,1
243,1995.0,invertebrates,Montacuta ferruginosa,1
244,1995.0,invertebrates,Mysidacea,10
245,1995.0,invertebrates,NEMERTEA,2
246,1995.0,invertebrates,Natantia,1
247,1995.0,invertebrates,Nematoda,3
248,1995.0,invertebrates,Nephtys cirrosa,8
249,1995.0,invertebrates,Nephtys hombergii,5
250,1995.0,invertebrates,Nereididae,3
251,1995.0,invertebrates,Nothria sp.,1
252,1995.0,invertebrates,Notomastus latericeus,4
253,1995.0,invertebrates,Nototropis falcatus,3
254,1995.0,invertebrates,Nototropis guttatus,1
255,1995.0,invertebrates,Nototropis swammerdamei,2
256,1995.0,invertebrates,Nototropis vedlomensis,2
257,1995.0,invertebrates,Nucula sulcata,4
258,1995.0,invertebrates,OSTRACODA,1
259,1995.0,invertebrates,Oedicerotidae,2
260,1995.0,invertebrates,Oligochaeta,10
261,1995.0,invertebrates,Onuphis cf. geophiliformis,1
262,1995.0,invertebrates,Ophryotrocha labronica,3
263,1995.0,invertebrates,Opisthobranchia,2
264,1995.0,invertebrates,Ostrea edulis,1
265,1995.0,invertebrates,Owenia fusiformis,4
266,1995.0,invertebrates,Oxydromus flexuosus,1
267,1995.0,invertebrates,Pachygrapsus marmoratus,2
268,1995.0,invertebrates,Paguridae,9
269,1995.0,invertebrates,Paradoneis armata,6
270,1995.0,invertebrates,Paragnathia formica,1
271,1995.0,invertebrates,Parapionosyllis sp.,2
272,1995.0,invertebrates,Parvicardium minimum,1
273,1995.0,invertebrates,Peringia ulvae,6
274,1995.0,invertebrates,Perioculodes longimanus,5
275,1995.0,invertebrates,Philocheras bispinosus,4
276,1995.0,invertebrates,Philocheras trispinosus,1
277,1995.0,invertebrates,Phtisica marina,1
278,1995.0,invertebrates,Phyllodoce sp.,1
279,1995.0,invertebrates,Phyllodocidae,4
280,1995.0,invertebrates,Pisione remota,5
281,1995.0,invertebrates,Plakosyllis brevipes,1
282,1995.0,invertebrates,Pleuronectidae,2
283,1995.0,invertebrates,Polydora ciliata,3
284,1995.0,invertebrates,Polygordius appendiculatus,3
285,1995.0,invertebrates,Pontocrates altamarinus,2
286,1995.0,invertebrates,Pontocrates arenarius,3
287,1995.0,invertebrates,Portunidae,4
288,1995.0,invertebrates,Prionospio cirrifera,4
289,1995.0,invertebrates,Prionospio sp.,2
290,1995.0,invertebrates,Prionospio steenstrupi,10
291,1995.0,invertebrates,Processa modica,5
292,1995.0,invertebrates,Processa sp.,1
293,1995.0,invertebrates,Protodorvillea kefersteini,2
294,1995.0,invertebrates,Psammobia costulata,1
295,1995.0,invertebrates,Pseudocuma sp.,1
296,1995.0,invertebrates,Pseudopolydora antennata,4
297,1995.0,invertebrates,Pseudopolydora pulchra,2
298,1995.0,invertebrates,Pycnogonida,1
299,1995.0,invertebrates,Ringicula auriculata,1
300,1995.0,invertebrates,Ruditapes decussatus,5
301,1995.0,invertebrates,Sabellaria spinulosa,4
302,1995.0,invertebrates,Scaphander lignarius,1
303,1995.0,invertebrates,Scolaricia sp.,3
304,1995.0,invertebrates,Scolelepis sp.,1
305,1995.0,invertebrates,Scrobicularia plana,5
306,1995.0,invertebrates,Sextonia longirostris,1
307,1995.0,invertebrates,Sigalion mathildae,1
308,1995.0,invertebrates,Sipuncula,1
309,1995.0,invertebrates,Socarnes erythrophthalmus,1
310,1995.0,invertebrates,Sphaeroma rugicauda,2
311,1995.0,invertebrates,Sphaerosyllis bulbosa,3
312,1995.0,invertebrates,Sphaerosyllis sp.,1
313,1995.0,invertebrates,Spio decorata,6
314,1995.0,invertebrates,Spio filicornis,3
315,1995.0,invertebrates,Spionidae,1
316,1995.0,invertebrates,Spiophanes bombyx,10
317,1995.0,invertebrates,Spirorbidae,1
318,1995.0,invertebrates,Spisula elliptica,1
319,1995.0,invertebrates,Stenothoe monoculoides,1
320,1995.0,invertebrates,Sthenelais cf. minor,1
321,1995.0,invertebrates,Sthenelais limicola,1
322,1995.0,invertebrates,Sthenelais sp.,1
323,1995.0,invertebrates,Streblospio shrubsolii,6
324,1995.0,invertebrates,Syllidae,2
325,1995.0,invertebrates,Syllis cornuta,1
326,1995.0,invertebrates,Syllis gerlachi,3
327,1995.0,invertebrates,Syllis sp.,2
328,1995.0,invertebrates,Synchelidium haplocheles,1
329,1995.0,invertebrates,Synchelidium maculatum,1
330,1995.0,invertebrates,Tanaidacea,1
331,1995.0,invertebrates,Tellina sp.,1
332,1995.0,invertebrates,Terebellidae,6
333,1995.0,invertebrates,Thyasira flexuosa,2
334,1995.0,invertebrates,Timoclea ovata,2
335,1995.0,invertebrates,Tritia incrassata,1
336,1995.0,invertebrates,Tritia varicosa,3
337,1995.0,invertebrates,Turboella parva,1
338,1995.0,invertebrates,Uca pugilator,2
339,1995.0,invertebrates,Upogebia sp.,1
340,1995.0,invertebrates,Urothoe brevicornis,1
341,1995.0,invertebrates,Urothoe elegans,1
342,1995.0,invertebrates,Urothoe poseidonis,1
343,1995.0,invertebrates,Urothoe pulchella,6
344,1995.0,invertebrates,Vaunthompsonia cristata ,1
345,1995.0,invertebrates,Venus casina,2
346,1996.0,fish,Anguilla anguilla,5
347,1996.0,fish,Atherina presbyter,2
348,1996.0,fish,Callionymus lyra,1
349,1996.0,fish,Carcinus maenas,6
350,1996.0,fish,Chelon labrosus,1
351,1996.0,fish,Crangon crangon,4
352,1996.0,fish,Dicentrarchus labrax,2
353,1996.0,fish,Dicentrarchus punctatus,1
354,1996.0,fish,Diplodus sargus,4
355,1996.0,fish,Engraulis encrasicolus,1
356,1996.0,fish,Gobius niger,4
357,1996.0,fish,Liocarcinus depurator,3
358,1996.0,fish,Lithognathus mormyrus,2
359,1996.0,fish,Liza aurata,1
360,1996.0,fish,Lophius piscatorius,1
361,1996.0,fish,Macropodia rostrata,1
362,1996.0,fish,Maja squinado,1
363,1996.0,fish,Mullus surmuletus,2
364,1996.0,fish,Necora puber,2
365,1996.0,fish,Pachygrapsus marmoratus,1
366,1996.0,fish,Palaemon serratus,1
367,1996.0,fish,Palaemon sp.,3
368,1996.0,fish,Pilumnus hirtellus,2
369,1996.0,fish,Pisidia longicornis,1
370,1996.0,fish,Platichthys flesus,3
371,1996.0,fish,Pomatoschistus sp.,8
372,1996.0,fish,Solea solea,3
373,1996.0,fish,Trachurus trachurus,1
374,1996.0,fish,Upogebia pusilla,1
375,1996.0,invertebrates,Abarenicola claparedi,2
376,1996.0,invertebrates,Abra alba,6
377,1996.0,invertebrates,Abra prismatica,1
378,1996.0,invertebrates,Abra sp.,1
379,1996.0,invertebrates,Acanthocardia sp.,4
380,1996.0,invertebrates,Actinia equina,1
381,1996.0,invertebrates,Actiniidae,1
382,1996.0,invertebrates,Ampelisca brevicornis,3
383,1996.0,invertebrates,Ampelisca sarsi,1
384,1996.0,invertebrates,Ampelisca sp.,1
385,1996.0,invertebrates,Ampharete sp.,6
386,1996.0,invertebrates,Amphiura chiajei,1
387,1996.0,invertebrates,Anaitides lineata,9
388,1996.0,invertebrates,Anaitides mucosa,3
389,1996.0,invertebrates,Anaitides sp.,3
390,1996.0,invertebrates,Anapagurus laevis,2
391,1996.0,invertebrates,Anapagurus sp.,8
392,1996.0,invertebrates,Antennella sp.,1
393,1996.0,invertebrates,Anthozoa,1
394,1996.0,invertebrates,Aonides oxycephala,4
395,1996.0,invertebrates,Aoridae,2
396,1996.0,invertebrates,Apicularia guerini,1
397,1996.0,invertebrates,Aponuphis bilineata,4
398,1996.0,invertebrates,Aricidea cerrutii,1
399,1996.0,invertebrates,Aricidea fragilis,2
400,1996.0,invertebrates,Aricidea sp.,3
401,1996.0,invertebrates,Armandia cirrhosa,3
402,1996.0,invertebrates,Astropecten irregularis,1
403,1996.0,invertebrates,Autolytus sp.,1
404,1996.0,invertebrates,Bathyporeia elegans,1
405,1996.0,invertebrates,Bathyporeia pilosa,1
406,1996.0,invertebrates,Bathyporeia sarsi,1
407,1996.0,invertebrates,Bathyporeia tenuipes,2
408,1996.0,invertebrates,Bittium reticulatum,1
409,1996.0,invertebrates,Bivalvia,6
410,1996.0,invertebrates,Boccardia chilensis,1
411,1996.0,invertebrates,Bodotria scorpioides,4
412,1996.0,invertebrates,Brachyura,1
413,1996.0,invertebrates,Branchiostoma lanceolata,3
414,1996.0,invertebrates,Brania oculata,1
415,1996.0,invertebrates,Brania pusilla,2
416,1996.0,invertebrates,Bugula sp.,1
417,1996.0,invertebrates,Callianassa sp.,1
418,1996.0,invertebrates,Callianassa subterranea,1
419,1996.0,invertebrates,Capitella capitata,16
420,1996.0,invertebrates,Caulleriella alata,2
421,1996.0,invertebrates,Caulleriella bioculata,1
422,1996.0,invertebrates,Centraloecetes striatus,2
423,1996.0,invertebrates,Ceradocus semiserratus,1
424,1996.0,invertebrates,Cerastoderma edule,1
425,1996.0,invertebrates,Cerianthus sp.,1
426,1996.0,invertebrates,Chaetopteridae,1
427,1996.0,invertebrates,Chaetozone setosa,2
428,1996.0,invertebrates,Chamelea striatula,4
429,1996.0,invertebrates,Chone filicaudata,2
430,1996.0,invertebrates,Chthamalus stellatus,1
431,1996.0,invertebrates,Cirriformia tentaculata,1
432,1996.0,invertebrates,Clausinella fasciata,2
433,1996.0,invertebrates,Clytia sp.,2
434,1996.0,invertebrates,Copepoda,6
435,1996.0,invertebrates,Corbula gibba,4
436,1996.0,invertebrates,Corophium acutum,1
437,1996.0,invertebrates,Corophium sp.,1
438,1996.0,invertebrates,Corystes cassivelaunus,1
439,1996.0,invertebrates,Cossura pygodactylata,1
440,1996.0,invertebrates,Crangonidae,1
441,1996.0,invertebrates,Cyathura carinata,4
442,1996.0,invertebrates,Cylichna cylindracea,2
443,1996.0,invertebrates,Cylichna sp.,1
444,1996.0,invertebrates,DINOPHYCEAE (ATECADOS),1
445,1996.0,invertebrates,Dardanus arrosor,1
446,1996.0,invertebrates,Decapoda,1
447,1996.0,invertebrates,Demospongiae,1
448,1996.0,invertebrates,Diastylis bradyi,1
449,1996.0,invertebrates,Diastylis cf. tumida,1
450,1996.0,invertebrates,Diastylis laevis,3
451,1996.0,invertebrates,Diastylis sp.,2
452,1996.0,invertebrates,Digitaria digitaria,1
453,1996.0,invertebrates,Diopatra neapolitana,1
454,1996.0,invertebrates,Diplocirrus glaucus,1
455,1996.0,invertebrates,Dispio uncinata,1
456,1996.0,invertebrates,Divaricella divaricata,1
457,1996.0,invertebrates,Dosinia lupinus,2
458,1996.0,invertebrates,Ebalia sp.,3
459,1996.0,invertebrates,Echinocardium cordatum,9
460,1996.0,invertebrates,Echinocyamus pusillus,4
461,1996.0,invertebrates,Echiurus echiurus,1
462,1996.0,invertebrates,Epitonium turtoni,1
463,1996.0,invertebrates,Eulalia bilineata,2
464,1996.0,invertebrates,Eulalia sp.,1
465,1996.0,invertebrates,Eumida sanguinea,3
466,1996.0,invertebrates,Eurydice affinis,2
467,1996.0,invertebrates,Eurydice pulchra,7
468,1996.0,invertebrates,Eurydice sp.,4
469,1996.0,invertebrates,Eurysyllis tuberculata,1
470,1996.0,invertebrates,Euspira nitida,1
471,1996.0,invertebrates,Fabulina fabula,2
472,1996.0,invertebrates,Ficopomatus enigmaticus,2
473,1996.0,invertebrates,Filograna implexa,1
474,1996.0,invertebrates,Galathea sp.,4
475,1996.0,invertebrates,Galathowenia oculata,3
476,1996.0,invertebrates,Gammaridae Gen. sp.,1
477,1996.0,invertebrates,Gammaridea,1
478,1996.0,invertebrates,Gammaropsis palmata,1
479,1996.0,invertebrates,Gastropoda,2
480,1996.0,invertebrates,Glycera alba,2
481,1996.0,invertebrates,Glycera lapidum,5
482,1996.0,invertebrates,Glycera tridactyla,8
483,1996.0,invertebrates,Glycera unicornis,5
484,1996.0,invertebrates,Glycinde nordmanni,6
485,1996.0,invertebrates,Gobiidae,1
486,1996.0,invertebrates,Goniada maculata,1
487,1996.0,invertebrates,Gouldia minima,1
488,1996.0,invertebrates,Guernea coalita,1
489,1996.0,invertebrates,Gymnammodytes semisquamatus,1
490,1996.0,invertebrates,Gyptis rosea,6
491,1996.0,invertebrates,Harmothoe glabra,2
492,1996.0,invertebrates,Harmothoe sp.,7
493,1996.0,invertebrates,Haustorius arenarius,2
494,1996.0,invertebrates,Hediste diversicolor,6
495,1996.0,invertebrates,Heteromastus filiformis,2
496,1996.0,invertebrates,Hexacorallia,7
497,1996.0,invertebrates,Hexacorallia sd1,6
498,1996.0,invertebrates,Hexacorallia sd2,4
499,1996.0,invertebrates,Hinia reticulata,9
500,1996.0,invertebrates,Hippomedon denticulatus,6
501,1996.0,invertebrates,Hyalinoecia bilineata,1
502,1996.0,invertebrates,Insecta,3
503,1996.0,invertebrates,Iphinoe sp.,1
504,1996.0,invertebrates,Jaera albifrons,1
505,1996.0,invertebrates,Kefersteinia cirrata,1
506,1996.0,invertebrates,Kurtiella bidentata,3
507,1996.0,invertebrates,Lacydonia miranda,1
508,1996.0,invertebrates,Lagis koreni,6
509,1996.0,invertebrates,Leucothoe incisa,6
510,1996.0,invertebrates,Liocarcinus holsatus,1
511,1996.0,invertebrates,Liocarcinus marmoreus,3
512,1996.0,invertebrates,Liocarcinus pusillus,2
513,1996.0,invertebrates,Liocarcinus sp.,3
514,1996.0,invertebrates,Liocarcinus zariquieyi,1
515,1996.0,invertebrates,Lumbrineriopsis paradoxa,1
516,1996.0,invertebrates,Lumbrineris latreilli,8
517,1996.0,invertebrates,Lumbrineris sp.,4
518,1996.0,invertebrates,Lutraria angustior,1
519,1996.0,invertebrates,Lutraria sp.,1
520,1996.0,invertebrates,Lyonsiidae,1
521,1996.0,invertebrates,Lysidice ninetta,1
522,1996.0,invertebrates,Lysidice unicornis,2
523,1996.0,invertebrates,Mactra stultorum,7
524,1996.0,invertebrates,Magelona alleni,1
525,1996.0,invertebrates,Magelona filiformis,6
526,1996.0,invertebrates,Magelona papillicornis,5
527,1996.0,invertebrates,Malacoceros girardi,7
528,1996.0,invertebrates,Manayunkia aestuarina,1
529,1996.0,invertebrates,Mangelia nebula,1
530,1996.0,invertebrates,Marphysa fallax,1
531,1996.0,invertebrates,Mediomastus fragilis,15
532,1996.0,invertebrates,Megaluropus agilis,4
533,1996.0,invertebrates,Megamphopus cornutus,1
534,1996.0,invertebrates,Melinna palmata,1
535,1996.0,invertebrates,Melita palmata,1
536,1996.0,invertebrates,Microdeutopus sp.,1
537,1996.0,invertebrates,Modiolula phaseolina,2
538,1996.0,invertebrates,Moerella donacina,5
539,1996.0,invertebrates,Monocorophium acherusicum,1
540,1996.0,invertebrates,Mysidacea,6
541,1996.0,invertebrates,Mystides elongata,1
542,1996.0,invertebrates,Mystides limbata,1
543,1996.0,invertebrates,NEMERTEA,13
544,1996.0,invertebrates,Neanthes caudata,1
545,1996.0,invertebrates,Nematoda,17
546,1996.0,invertebrates,Nephtys cirrosa,5
547,1996.0,invertebrates,Nephtys hombergii,5
548,1996.0,invertebrates,Nephtys paradoxa,4
549,1996.0,invertebrates,Nereis sp.,1
550,1996.0,invertebrates,Nothria lepta,1
551,1996.0,invertebrates,Notocirrus sp.,1
552,1996.0,invertebrates,Notomastus latericeus,2
553,1996.0,invertebrates,Nototropis vedlomensis,3
554,1996.0,invertebrates,Nucula sulcata,4
555,1996.0,invertebrates,Oligochaeta,13
556,1996.0,invertebrates,Onuphidae,2
557,1996.0,invertebrates,Ophiopsila aranea,1
558,1996.0,invertebrates,Ophiura albida,5
559,1996.0,invertebrates,Ophiura ophiura,2
560,1996.0,invertebrates,Ophiura ophiura (juv.),1
561,1996.0,invertebrates,Ophryotrocha labronica,1
562,1996.0,invertebrates,Oriopsis sp.,1
563,1996.0,invertebrates,Owenia filiformis,1
564,1996.0,invertebrates,Owenia fusiformis,4
565,1996.0,invertebrates,Oxydromus flexuosus,1
566,1996.0,invertebrates,Paguridae,5
567,1996.0,invertebrates,Papillicardium papillosum,1
568,1996.0,invertebrates,Paradoneis armata,8
569,1996.0,invertebrates,Paradoneis lyra,3
570,1996.0,invertebrates,Paraehlersia ferrugina,2
571,1996.0,invertebrates,Paragnathia formica,2
572,1996.0,invertebrates,Parapionosyllis cf. gestans,2
573,1996.0,invertebrates,Parapionosyllis labronica,2
574,1996.0,invertebrates,Pariambus typicus,6
575,1996.0,invertebrates,Peringia ulvae,5
576,1996.0,invertebrates,Perioculodes longimanus,5
577,1996.0,invertebrates,Phaxas pellucidus,2
578,1996.0,invertebrates,Pherusa sp.,1
579,1996.0,invertebrates,Philine aperta,1
580,1996.0,invertebrates,Philocheras trispinosus,2
581,1996.0,invertebrates,Phtisica marina,2
582,1996.0,invertebrates,Phyllodocidae,3
