year,taxagroup,siteid,sitename,decimallatitude,decimallongitude,age,value,cumulative_value
2009.0,water,E-N17LS,Leioa (Lamiako). Low Tide. Surface,43.3156,-2.9977,21,344,1586
2007.0,water,E-N20LS,Abra Interior. Low Tide. Surface,43.3382,-3.027,28,344,1682
2009.0,water,E-N20LS,Abra Interior. Low Tide. Surface,43.3382,-3.027,28,344,2368
2008.0,water,E-N17LS,Leioa (Lamiako). Low Tide. Surface,43.3156,-2.9977,21,342,1242
2008.0,water,E-N20LS,Abra Interior. Low Tide. Surface,43.3382,-3.027,28,342,2024
2007.0,water,E-N17LS,Leioa (Lamiako). Low Tide. Surface,43.3156,-2.9977,21,326,900
2014.0,water,E-OI15LS,Pasaia de San Pedro (Dársena de Herrera). Low Tide. Surface,43.3224,-1.9311,21,292,2631
2014.0,water,L-UR20S,Litoral de Mompás. Surface,43.3389,-1.9548,28,292,3290
2014.0,water,E-D10LS,Deba (Puente). Low Tide. Surface,43.2925,-2.3572,29,280,3270
2023.0,water,E-OI15LS,Pasaia de San Pedro (Dársena de Herrera). Low Tide. Surface,43.3224,-1.9311,21,256,4929
2023.0,water,L-UR20S,Litoral de Mompás. Surface,43.3389,-1.9548,28,256,5588
2022.0,water,E-OI15LS,Pasaia de San Pedro (Dársena de Herrera). Low Tide. Surface,43.3224,-1.9311,21,256,4673
2021.0,water,E-OI15LS,Pasaia de San Pedro (Dársena de Herrera). Low Tide. Surface,43.3224,-1.9311,21,256,4417
2020.0,water,E-OI15LS,Pasaia de San Pedro (Dársena de Herrera). Low Tide. Surface,43.3224,-1.9311,21,256,4161
2018.0,water,E-OI15LS,Pasaia de San Pedro (Dársena de Herrera). Low Tide. Surface,43.3224,-1.9311,21,256,3655
2017.0,water,E-OI15LS,Pasaia de San Pedro (Dársena de Herrera). Low Tide. Surface,43.3224,-1.9311,21,256,3399
2016.0,water,E-OI15LS,Pasaia de San Pedro (Dársena de Herrera). Low Tide. Surface,43.3224,-1.9311,21,256,3143
2015.0,water,E-OI15LS,Pasaia de San Pedro (Dársena de Herrera). Low Tide. Surface,43.3224,-1.9311,21,256,2887
2013.0,water,E-OI15LS,Pasaia de San Pedro (Dársena de Herrera). Low Tide. Surface,43.3224,-1.9311,21,256,2339
2011.0,water,E-OI15LS,Pasaia de San Pedro (Dársena de Herrera). Low Tide. Surface,43.3224,-1.9311,21,256,1827
2012.0,water,E-OI15LS,Pasaia de San Pedro (Dársena de Herrera). Low Tide. Surface,43.3224,-1.9311,21,256,2083
2022.0,water,E-OI20LS,Pasaia (San Pedro). Low Tide. Surface,43.3263,-1.9212,29,256,3056
2021.0,water,L-UR20S,Litoral de Mompás. Surface,43.3389,-1.9548,28,256,5076
2012.0,water,L-UR20S,Litoral de Mompás. Surface,43.3389,-1.9548,28,256,2742
2017.0,water,L-UR20S,Litoral de Mompás. Surface,43.3389,-1.9548,28,256,4058
2016.0,water,L-UR20S,Litoral de Mompás. Surface,43.3389,-1.9548,28,256,3802
2015.0,water,L-UR20S,Litoral de Mompás. Surface,43.3389,-1.9548,28,256,3546
2021.0,water,E-D10LS,Deba (Puente). Low Tide. Surface,43.2925,-2.3572,29,256,4987
2020.0,water,L-UR20S,Litoral de Mompás. Surface,43.3389,-1.9548,28,256,4820
2013.0,water,L-UR20S,Litoral de Mompás. Surface,43.3389,-1.9548,28,256,2998
2018.0,water,L-UR20S,Litoral de Mompás. Surface,43.3389,-1.9548,28,256,4314
2011.0,water,L-UR20S,Litoral de Mompás. Surface,43.3389,-1.9548,28,256,2486
2023.0,water,E-OI20LS,Pasaia (San Pedro). Low Tide. Surface,43.3263,-1.9212,29,256,3312
2022.0,water,L-UR20S,Litoral de Mompás. Surface,43.3389,-1.9548,28,256,5332
2021.0,water,E-OI20LS,Pasaia (San Pedro). Low Tide. Surface,43.3263,-1.9212,29,256,2800
2019.0,water,E-OI15LS,Pasaia de San Pedro (Dársena de Herrera). Low Tide. Surface,43.3224,-1.9311,21,250,3905
2019.0,water,L-UR20S,Litoral de Mompás. Surface,43.3389,-1.9548,28,250,4564
2010.0,water,E-OI15LS,Pasaia de San Pedro (Dársena de Herrera). Low Tide. Surface,43.3224,-1.9311,21,248,1571
2008.0,water,L-UR20S,Litoral de Mompás. Surface,43.3389,-1.9548,28,248,1734
2008.0,water,E-OI15LS,Pasaia de San Pedro (Dársena de Herrera). Low Tide. Surface,43.3224,-1.9311,21,248,1075
2007.0,water,E-OI15LS,Pasaia de San Pedro (Dársena de Herrera). Low Tide. Surface,43.3224,-1.9311,21,248,827
2009.0,water,L-UR20S,Litoral de Mompás. Surface,43.3389,-1.9548,28,248,1982
2009.0,water,E-OI15LS,Pasaia de San Pedro (Dársena de Herrera). Low Tide. Surface,43.3224,-1.9311,21,248,1323
2010.0,water,L-UR20S,Litoral de Mompás. Surface,43.3389,-1.9548,28,248,2230
2007.0,water,L-UR20S,Litoral de Mompás. Surface,43.3389,-1.9548,28,248,1486
2023.0,water,E-D10LS,Deba (Puente). Low Tide. Surface,43.2925,-2.3572,29,244,5475
2018.0,water,E-D10LS,Deba (Puente). Low Tide. Surface,43.2925,-2.3572,29,244,4244
2011.0,water,E-D10LS,Deba (Puente). Low Tide. Surface,43.2925,-2.3572,29,244,2502
2012.0,water,E-D10LS,Deba (Puente). Low Tide. Surface,43.2925,-2.3572,29,244,2746
2013.0,water,E-D10LS,Deba (Puente). Low Tide. Surface,43.2925,-2.3572,29,244,2990
2007.0,water,E-D10LS,Deba (Puente). Low Tide. Surface,43.2925,-2.3572,29,244,1540
2016.0,water,E-D10LS,Deba (Puente). Low Tide. Surface,43.2925,-2.3572,29,244,3756
2022.0,water,E-D10LS,Deba (Puente). Low Tide. Surface,43.2925,-2.3572,29,244,5231
2017.0,water,E-D10LS,Deba (Puente). Low Tide. Surface,43.2925,-2.3572,29,244,4000
2019.0,water,E-D10LS,Deba (Puente). Low Tide. Surface,43.2925,-2.3572,29,244,4488
2020.0,water,E-D10LS,Deba (Puente). Low Tide. Surface,43.2925,-2.3572,29,243,4731
2015.0,water,E-D10LS,Deba (Puente). Low Tide. Surface,43.2925,-2.3572,29,242,3512
2009.0,water,E-D10LS,Deba (Puente). Low Tide. Surface,43.2925,-2.3572,29,242,2018
2010.0,water,E-D10LS,Deba (Puente). Low Tide. Surface,43.2925,-2.3572,29,240,2258
2022.0,water,E-N15LS,Barakaldo (Puente de Rontegi). Low Tide. Surface,43.2951,-2.974,21,236,2286
2023.0,water,E-N15LS,Barakaldo (Puente de Rontegi). Low Tide. Surface,43.2951,-2.974,21,236,2522
2008.0,water,E-D10LS,Deba (Puente). Low Tide. Surface,43.2925,-2.3572,29,236,1776
2022.0,water,E-N30LS,Abra Exterior. Low Tide. Surface,43.3604,-3.0453,28,220,2981
2023.0,water,E-N10LS,Bilbao (Puente de Deusto). Low Tide. Surface,43.2697,-2.939,29,220,3189
2023.0,water,E-N30LS,Abra Exterior. Low Tide. Surface,43.3604,-3.0453,28,220,3201
2022.0,water,E-N10LS,Bilbao (Puente de Deusto). Low Tide. Surface,43.2697,-2.939,29,220,2969
2014.0,water,L-N20S,Litoral de Sopelana. Surface,43.3992,-3.0206,28,205,2595
2014.0,water,L-BI10S,Litoral de Hondarribia. Surface,43.3967,-1.8021,28,204,2546
2014.0,water,L-D10S,Litoral de Deba. Surface,43.3266,-2.3525,28,204,2620
2014.0,water,E-M10LS,Pobeña (puente). Low Tide. Surface,43.3469,-3.1216,29,200,2638
2014.0,water,E-OK10LS,Murueta (Astillero). Low Tide. Surface,43.3647,-2.6841,29,200,2634
2014.0,water,E-A10LS,Ondarroa (Embarcadero). Low Tide. Surface,43.3199,-2.421,28,200,2593
2014.0,water,E-O10LS,Orio (Puente de La Autopista). Low Tide. Surface,43.2826,-2.1316,29,200,2635
2014.0,phytoplankton,L-N20,Litoral de Sopelana,43.3992,-3.0206,21,200,1028
2014.0,water,E-L10LS,Lekeitio (Molino). Low Tide. Surface,43.3602,-2.4989,29,200,2596
2014.0,water,E-OK20LS,Sukarrieta (Txatxarramendi). Low Tide. Surface,43.3936,-2.6943,26,200,2292
2014.0,water,E-B10LS,Plentzia (Puerto). Low Tide. Surface,43.4076,-2.9463,28,200,2614
2014.0,water,E-U10LS,Zumaia (Puente Narrondo). Low Tide. Surface,43.2963,-2.2563,29,200,2647
2014.0,water,E-UR10LS,Donostia (Puente de Santa Catalina). Low Tide. Surface,43.3171,-1.9782,29,200,2615
2014.0,water,E-BI10LS,Irun (Amute). Low Tide. Surface,43.3522,-1.7913,29,200,2633
2016.0,phytoplankton,L-A10,Litoral de Ondarroa,43.3359,-2.4025,17,198,1219
2017.0,phytoplankton,L-OI10,Litoral de Pasaia,43.3376,-1.9324,21,195,1525
2016.0,phytoplankton,L-OI20,Litoral de Pasaia (Asabaratza),43.3601,-1.8918,17,193,1267
2015.0,phytoplankton,L-B10,Litoral de Gorliz (Cabo Villano),43.4371,-2.9553,17,191,1278
2016.0,phytoplankton,L-N20,Litoral de Sopelana,43.3992,-3.0206,21,189,1361
2022.0,phytoplankton,L-RF10,Litoral Oiartzun - Plataforma,43.4534,-1.918,21,189,2056
2017.0,phytoplankton,L-OI20,Litoral de Pasaia (Asabaratza),43.3601,-1.8918,17,186,1453
2016.0,phytoplankton,L-O20,Litoral de Getaria,43.3156,-2.1801,16,185,1099
2015.0,phytoplankton,L-OI20,Litoral de Pasaia (Asabaratza),43.3601,-1.8918,17,185,1074
2016.0,phytoplankton,L-N10,Litoral del Abra (Frente al Superpuerto),43.3826,-3.082,17,184,1370
2015.0,phytoplankton,L-OI10,Litoral de Pasaia,43.3376,-1.9324,21,184,1155
2022.0,phytoplankton,L-OI10,Litoral de Pasaia,43.3376,-1.9324,21,184,2257
2016.0,phytoplankton,L-O10,Litoral de Orio,43.3054,-2.1356,17,183,1280
2022.0,phytoplankton,L-UR20,Litoral de Mompás,43.3389,-1.9548,21,182,2176
2016.0,phytoplankton,L-L20,Litoral de Lekeitio,43.3729,-2.4896,17,181,1182
2023.0,water,L-N10S,Litoral del Abra (Frente al Superpuerto). Surface,43.3826,-3.082,28,180,2926
2022.0,water,L-N10S,Litoral del Abra (Frente al Superpuerto). Surface,43.3826,-3.082,28,180,2746
2016.0,phytoplankton,L-BI10,Litoral de Hondarribia,43.3967,-1.8021,17,180,1356
2016.0,phytoplankton,L-B10,Litoral de Gorliz (Cabo Villano),43.4371,-2.9553,17,178,1456
2016.0,phytoplankton,L-B20,Litoral de Bakio,43.4474,-2.8033,17,178,1222
2016.0,phytoplankton,L-D10,Litoral de Deba,43.3266,-2.3525,17,177,1259
2014.0,phytoplankton,L-B10,Litoral de Gorliz (Cabo Villano),43.4371,-2.9553,17,177,1087
2013.0,water,L-N20S,Litoral de Sopelana. Surface,43.3992,-3.0206,28,177,2390
2021.0,water,E-A10LS,Ondarroa (Embarcadero). Low Tide. Surface,43.3199,-2.421,28,176,3753
2021.0,water,E-M10LS,Pobeña (puente). Low Tide. Surface,43.3469,-3.1216,29,176,3798
2022.0,water,E-L10LS,Lekeitio (Molino). Low Tide. Surface,43.3602,-2.4989,29,176,3926
2021.0,water,E-L10LS,Lekeitio (Molino). Low Tide. Surface,43.3602,-2.4989,29,176,3750
2022.0,water,E-L5LS,Lekeitio (Astillero). Low Tide. Surface,43.3569,-2.5047,21,176,1980
2021.0,water,E-B10LS,Plentzia (Puerto). Low Tide. Surface,43.4076,-2.9463,28,176,3772
2023.0,water,E-L10LS,Lekeitio (Molino). Low Tide. Surface,43.3602,-2.4989,29,176,4102
2022.0,water,E-OK5LS,Forua (Salida de la Depuradora). Low Tide. Surface,43.3405,-2.6662,21,176,1986
2021.0,water,E-U10LS,Zumaia (Puente Narrondo). Low Tide. Surface,43.2963,-2.2563,29,176,3805
2023.0,water,E-L5LS,Lekeitio (Astillero). Low Tide. Surface,43.3569,-2.5047,21,175,2155
2023.0,water,E-OK5LS,Forua (Salida de la Depuradora). Low Tide. Surface,43.3405,-2.6662,21,175,2161
2016.0,phytoplankton,L-RF20,Litoral Deba - Plataforma,43.4,-2.2999,13,175,1064
2016.0,phytoplankton,L-OI10,Litoral de Pasaia,43.3376,-1.9324,21,175,1330
2017.0,phytoplankton,L-N10,Litoral del Abra (Frente al Superpuerto),43.3826,-3.082,17,174,1544
2016.0,phytoplankton,L-RF10,Litoral Oiartzun - Plataforma,43.4534,-1.918,21,174,1138
2022.0,phytoplankton,E-OI15,Pasaia de San Pedro (Dársena de Herrera),43.3224,-1.9311,19,172,1267
2015.0,phytoplankton,L-O10,Litoral de Orio,43.3054,-2.1356,17,170,1097
2015.0,phytoplankton,L-BI10,Litoral de Hondarribia,43.3967,-1.8021,17,170,1176
2016.0,phytoplankton,L-L10,Litoral de Elantxobe (Kai Arri),43.4026,-2.5851,17,169,1173
2014.0,phytoplankton,L-UR20,Litoral de Mompás,43.3389,-1.9548,21,169,1002
2017.0,phytoplankton,L-N20,Litoral de Sopelana,43.3992,-3.0206,21,169,1530
2023.0,water,L-O10S,Litoral de Orio. Surface,43.3054,-2.1356,28,168,2890
2023.0,water,L-A10S,Litoral de Ondarroa. Surface,43.3359,-2.4025,26,168,2574
2022.0,water,L-A10S,Litoral de Ondarroa. Surface,43.3359,-2.4025,26,168,2406
2023.0,water,L-B20S,Litoral de Bakio. Surface,43.4474,-2.8033,28,168,2809
2022.0,water,L-O20S,Litoral de Getaria. Surface,43.3156,-2.1801,21,168,2056
2023.0,water,L-O20S,Litoral de Getaria. Surface,43.3156,-2.1801,21,168,2224
2023.0,water,L-OI10S,Litoral de Pasaia. Surface,43.3376,-1.9324,28,168,2854
2023.0,water,L-OI20S,Litoral de Pasaia (Asabaratza). Surface,43.3601,-1.8918,21,168,2222
2022.0,water,L-OK10S,Litoral de Mundaka. Surface,43.4409,-2.7016,28,168,2648
2023.0,water,L-OK10S,Litoral de Mundaka. Surface,43.4409,-2.7016,28,168,2816
2023.0,water,L-RF10S,Litoral Oiartzun - Plataforma. Surface,43.4534,-1.918,21,168,2197
2019.0,phytoplankton,L-B10,Litoral de Gorliz (Cabo Villano),43.4371,-2.9553,17,168,1905
2022.0,water,L-RF20S,Litoral Deba - Plataforma. Surface,43.4,-2.2999,17,168,1613
2023.0,water,L-RF20S,Litoral Deba - Plataforma. Surface,43.4,-2.2999,17,168,1781
2022.0,water,L-O10S,Litoral de Orio. Surface,43.3054,-2.1356,28,168,2722
2021.0,water,L-N20S,Litoral de Sopelana. Surface,43.3992,-3.0206,28,168,3771
2022.0,water,L-B10S,Litoral de Gorliz (Cabo Villano). Surface,43.4371,-2.9553,28,168,2643
2020.0,water,L-BI10S,Litoral de Hondarribia. Surface,43.3967,-1.8021,28,168,3554
2015.0,water,L-D10S,Litoral de Deba. Surface,43.3266,-2.3525,28,168,2788
2013.0,water,L-D10S,Litoral de Deba. Surface,43.3266,-2.3525,28,168,2416
2012.0,water,L-D10S,Litoral de Deba. Surface,43.3266,-2.3525,28,168,2248
2011.0,water,L-D10S,Litoral de Deba. Surface,43.3266,-2.3525,28,168,2080
2010.0,water,L-D10S,Litoral de Deba. Surface,43.3266,-2.3525,28,168,1912
2009.0,water,L-D10S,Litoral de Deba. Surface,43.3266,-2.3525,28,168,1744
2008.0,water,L-D10S,Litoral de Deba. Surface,43.3266,-2.3525,28,168,1576
2007.0,water,L-D10S,Litoral de Deba. Surface,43.3266,-2.3525,28,168,1408
2023.0,water,L-BI10S,Litoral de Hondarribia. Surface,43.3967,-1.8021,28,168,4058
2022.0,water,L-BI10S,Litoral de Hondarribia. Surface,43.3967,-1.8021,28,168,3890
2021.0,water,L-BI10S,Litoral de Hondarribia. Surface,43.3967,-1.8021,28,168,3722
2018.0,water,L-BI10S,Litoral de Hondarribia. Surface,43.3967,-1.8021,28,168,3218
2023.0,water,L-B10S,Litoral de Gorliz (Cabo Villano). Surface,43.4371,-2.9553,28,168,2811
2017.0,water,L-BI10S,Litoral de Hondarribia. Surface,43.3967,-1.8021,28,168,3050
2016.0,water,L-BI10S,Litoral de Hondarribia. Surface,43.3967,-1.8021,28,168,2882
2015.0,water,L-BI10S,Litoral de Hondarribia. Surface,43.3967,-1.8021,28,168,2714
2013.0,water,L-BI10S,Litoral de Hondarribia. Surface,43.3967,-1.8021,28,168,2342
2012.0,water,L-BI10S,Litoral de Hondarribia. Surface,43.3967,-1.8021,28,168,2174
2011.0,water,L-BI10S,Litoral de Hondarribia. Surface,43.3967,-1.8021,28,168,2006
2010.0,water,L-BI10S,Litoral de Hondarribia. Surface,43.3967,-1.8021,28,168,1838
2009.0,water,L-BI10S,Litoral de Hondarribia. Surface,43.3967,-1.8021,28,168,1670
2008.0,water,L-BI10S,Litoral de Hondarribia. Surface,43.3967,-1.8021,28,168,1502
2007.0,water,L-BI10S,Litoral de Hondarribia. Surface,43.3967,-1.8021,28,168,1334
2022.0,water,E-OI10LS,Lezo. Low Tide. Surface,43.3228,-1.9038,29,168,2804
2016.0,water,L-D10S,Litoral de Deba. Surface,43.3266,-2.3525,28,168,2956
2017.0,water,L-D10S,Litoral de Deba. Surface,43.3266,-2.3525,28,168,3124
2018.0,water,L-D10S,Litoral de Deba. Surface,43.3266,-2.3525,28,168,3292
2019.0,water,L-D10S,Litoral de Deba. Surface,43.3266,-2.3525,28,168,3460
2023.0,water,L-N20S,Litoral de Sopelana. Surface,43.3992,-3.0206,28,168,4107
2022.0,water,L-N20S,Litoral de Sopelana. Surface,43.3992,-3.0206,28,168,3939
2023.0,water,E-OI10LS,Lezo. Low Tide. Surface,43.3228,-1.9038,29,168,2972
2020.0,water,L-N20S,Litoral de Sopelana. Surface,43.3992,-3.0206,28,168,3603
2019.0,water,L-N20S,Litoral de Sopelana. Surface,43.3992,-3.0206,28,168,3435
2018.0,water,L-N20S,Litoral de Sopelana. Surface,43.3992,-3.0206,28,168,3267
2017.0,water,L-N20S,Litoral de Sopelana. Surface,43.3992,-3.0206,28,168,3099
2016.0,water,L-N20S,Litoral de Sopelana. Surface,43.3992,-3.0206,28,168,2931
2015.0,water,L-N20S,Litoral de Sopelana. Surface,43.3992,-3.0206,28,168,2763
2011.0,water,L-N20S,Litoral de Sopelana. Surface,43.3992,-3.0206,28,168,2045
2010.0,water,L-N20S,Litoral de Sopelana. Surface,43.3992,-3.0206,28,168,1877
2009.0,water,L-N20S,Litoral de Sopelana. Surface,43.3992,-3.0206,28,168,1709
2008.0,water,L-N20S,Litoral de Sopelana. Surface,43.3992,-3.0206,28,168,1541
2007.0,water,L-N20S,Litoral de Sopelana. Surface,43.3992,-3.0206,28,168,1373
2022.0,water,L-B20S,Litoral de Bakio. Surface,43.4474,-2.8033,28,168,2641
2023.0,water,L-L20S,Litoral de Lekeitio. Surface,43.3729,-2.4896,21,168,2249
2022.0,water,L-L20S,Litoral de Lekeitio. Surface,43.3729,-2.4896,21,168,2081
2023.0,water,L-L10S,Litoral de Elantxobe (Kai Arri). Surface,43.4026,-2.5851,28,168,2884
2022.0,water,L-L10S,Litoral de Elantxobe (Kai Arri). Surface,43.4026,-2.5851,28,168,2716
2023.0,water,L-D10S,Litoral de Deba. Surface,43.3266,-2.3525,28,168,4132
2022.0,water,L-D10S,Litoral de Deba. Surface,43.3266,-2.3525,28,168,3964
2021.0,water,L-D10S,Litoral de Deba. Surface,43.3266,-2.3525,28,168,3796
2020.0,water,L-D10S,Litoral de Deba. Surface,43.3266,-2.3525,28,168,3628
2019.0,water,L-BI10S,Litoral de Hondarribia. Surface,43.3967,-1.8021,28,168,3386
2012.0,water,L-N20S,Litoral de Sopelana. Surface,43.3992,-3.0206,28,168,2213
2022.0,water,L-RF30S,Litoral Butroe - Plataforma. Surface,43.5,-2.7999,17,168,1613
2023.0,water,L-U10S,Litoral de Zumaia. Surface,43.3172,-2.2426,28,168,2847
2022.0,water,L-U10S,Litoral de Zumaia. Surface,43.3172,-2.2426,28,168,2679
2022.0,phytoplankton,E-OI20,Pasaia (San Pedro),43.3263,-1.9212,21,168,1531
2023.0,water,L-RF30S,Litoral Butroe - Plataforma. Surface,43.5,-2.7999,17,168,1781
2015.0,phytoplankton,L-O20,Litoral de Getaria,43.3156,-2.1801,16,167,914
2016.0,phytoplankton,L-U10,Litoral de Zumaia,43.3172,-2.2426,17,167,1208
2022.0,phytoplankton,L-N20,Litoral de Sopelana,43.3992,-3.0206,21,165,2267
2017.0,phytoplankton,L-RF10,Litoral Oiartzun - Plataforma,43.4534,-1.918,21,165,1303
2015.0,water,E-OK20LS,Sukarrieta (Txatxarramendi). Low Tide. Surface,43.3936,-2.6943,26,164,2456
2019.0,water,E-UR10LS,Donostia (Puente de Santa Catalina). Low Tide. Surface,43.3171,-1.9782,29,164,3432
2017.0,water,E-UR10LS,Donostia (Puente de Santa Catalina). Low Tide. Surface,43.3171,-1.9782,29,164,3107
2016.0,water,E-UR10LS,Donostia (Puente de Santa Catalina). Low Tide. Surface,43.3171,-1.9782,29,164,2943
2013.0,water,E-OK20LS,Sukarrieta (Txatxarramendi). Low Tide. Surface,43.3936,-2.6943,26,164,2092
2010.0,water,E-A10LS,Ondarroa (Embarcadero). Low Tide. Surface,43.3199,-2.421,28,164,1901
2015.0,water,E-UR10LS,Donostia (Puente de Santa Catalina). Low Tide. Surface,43.3171,-1.9782,29,164,2779
2020.0,water,E-UR10LS,Donostia (Puente de Santa Catalina). Low Tide. Surface,43.3171,-1.9782,29,164,3596
2012.0,water,E-UR10LS,Donostia (Puente de Santa Catalina). Low Tide. Surface,43.3171,-1.9782,29,164,2252
2011.0,water,E-UR10LS,Donostia (Puente de Santa Catalina). Low Tide. Surface,43.3171,-1.9782,29,164,2088
2023.0,water,E-BI20LS,Hondarribia (Txingudi). Low Tide. Surface,43.3697,-1.7901,29,164,2841
2010.0,water,E-UR10LS,Donostia (Puente de Santa Catalina). Low Tide. Surface,43.3171,-1.9782,29,164,1924
2009.0,water,E-UR10LS,Donostia (Puente de Santa Catalina). Low Tide. Surface,43.3171,-1.9782,29,164,1760
2007.0,water,E-B10LS,Plentzia (Puerto). Low Tide. Surface,43.4076,-2.9463,28,164,1432
2009.0,water,E-B10LS,Plentzia (Puerto). Low Tide. Surface,43.4076,-2.9463,28,164,1758
2021.0,water,E-UR10LS,Donostia (Puente de Santa Catalina). Low Tide. Surface,43.3171,-1.9782,29,164,3760
2016.0,water,E-B10LS,Plentzia (Puerto). Low Tide. Surface,43.4076,-2.9463,28,164,2942
2023.0,water,E-B10LS,Plentzia (Puerto). Low Tide. Surface,43.4076,-2.9463,28,164,4100
2023.0,water,E-U10LS,Zumaia (Puente Narrondo). Low Tide. Surface,43.2963,-2.2563,29,164,4133
2022.0,water,E-B10LS,Plentzia (Puerto). Low Tide. Surface,43.4076,-2.9463,28,164,3936
2020.0,water,E-B10LS,Plentzia (Puerto). Low Tide. Surface,43.4076,-2.9463,28,164,3596
2016.0,water,E-OK20LS,Sukarrieta (Txatxarramendi). Low Tide. Surface,43.3936,-2.6943,26,164,2620
2019.0,water,E-B10LS,Plentzia (Puerto). Low Tide. Surface,43.4076,-2.9463,28,164,3432
2018.0,water,E-B10LS,Plentzia (Puerto). Low Tide. Surface,43.4076,-2.9463,28,164,3268
2020.0,phytoplankton,L-RF10,Litoral Oiartzun - Plataforma,43.4534,-1.918,21,164,1707
2022.0,water,E-UR10LS,Donostia (Puente de Santa Catalina). Low Tide. Surface,43.3171,-1.9782,29,164,3924
2007.0,water,E-L10LS,Lekeitio (Molino). Low Tide. Surface,43.3602,-2.4989,29,164,1416
2015.0,water,E-B10LS,Plentzia (Puerto). Low Tide. Surface,43.4076,-2.9463,28,164,2778
2013.0,water,E-B10LS,Plentzia (Puerto). Low Tide. Surface,43.4076,-2.9463,28,164,2414
2012.0,water,E-B10LS,Plentzia (Puerto). Low Tide. Surface,43.4076,-2.9463,28,164,2250
2011.0,water,E-B10LS,Plentzia (Puerto). Low Tide. Surface,43.4076,-2.9463,28,164,2086
2010.0,water,E-B10LS,Plentzia (Puerto). Low Tide. Surface,43.4076,-2.9463,28,164,1922
2011.0,water,E-OK20LS,Sukarrieta (Txatxarramendi). Low Tide. Surface,43.3936,-2.6943,26,164,1764
2012.0,water,E-OK20LS,Sukarrieta (Txatxarramendi). Low Tide. Surface,43.3936,-2.6943,26,164,1928
2022.0,water,E-BI20LS,Hondarribia (Txingudi). Low Tide. Surface,43.3697,-1.7901,29,164,2677
2010.0,water,E-OK20LS,Sukarrieta (Txatxarramendi). Low Tide. Surface,43.3936,-2.6943,26,164,1600
2020.0,water,E-OK10LS,Murueta (Astillero). Low Tide. Surface,43.3647,-2.6841,29,164,3618
2007.0,water,E-OK10LS,Murueta (Astillero). Low Tide. Surface,43.3647,-2.6841,29,164,1452
2020.0,water,E-A10LS,Ondarroa (Embarcadero). Low Tide. Surface,43.3199,-2.421,28,164,3577
